Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Alpha_Config
FedAdam,FashionMNIST,,0.9,0.999,1,0.7098329283714294,0.742634759168615,74.89,30,100,54410,5.200900077819824,5.192898750305176,0.008001327514648438,,122.7568359375,100.0
FedAdam,FashionMNIST,,0.9,0.999,2,0.6810413146018982,0.7518473958888849,76.44,26,100,54410,4.500381708145142,4.49350905418396,0.006872653961181641,,122.7568359375,100.0
FedAdam,FashionMNIST,,0.9,0.999,3,0.6173088999271393,0.7794821729576007,78.97,30,100,54410,5.045618772506714,5.036970138549805,0.00864863395690918,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,4,0.5255529436826706,0.8085845639988335,81.1,23,100,54410,3.7415995597839355,3.7345638275146484,0.007035732269287109,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,5,0.7175121276855468,0.7431095584317441,74.14,26,100,54410,3.925410032272339,3.9180996417999268,0.007310390472412109,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,6,0.8996337385177612,0.6751448334370675,67.96,24,100,54410,3.5549099445343018,3.5489652156829834,0.005944728851318359,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,7,0.6269111237049103,0.7829504279737475,78.19,28,100,54410,4.067416667938232,4.059227466583252,0.008189201354980469,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,8,0.5066450963497162,0.8165484342048732,81.78,24,100,54410,3.540540933609009,3.5334460735321045,0.007094860076904297,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,9,0.4769709547519684,0.8355652977585022,83.78,25,100,54410,3.6543385982513428,3.6468470096588135,0.007491588592529297,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,10,0.4550296768426895,0.8465386222843276,84.94,20,100,54410,3.2032735347747803,3.1970930099487305,0.006180524826049805,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,11,0.4477659621238709,0.8452318599999418,85.04,20,100,54410,3.453000068664551,3.4463727474212646,0.006627321243286133,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,12,0.43605064151287076,0.8448127742292927,84.89,30,100,54410,5.140733003616333,5.132242441177368,0.008490562438964844,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,13,0.4078555779695511,0.8570860508496372,85.84,29,100,54410,4.887648344039917,4.879226207733154,0.008422136306762695,,122.966796875,100.0
