Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Num_Clients_Config
FedAdam,FashionMNIST,,0.9,0.999,1,8.395093341064452,0.12189907014043302,23.12,6,20,54410,3.390934705734253,3.3884100914001465,0.0025246143341064453,,84.3037109375,20
FedAdam,FashionMNIST,,0.9,0.999,2,5.670743678283691,0.22542100780031954,31.93,6,20,54410,5.000406980514526,4.997615098953247,0.002791881561279297,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,3,3.517290214538574,0.3806917573314487,49.2,4,20,54410,2.8938708305358887,2.8918278217315674,0.002043008804321289,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,4,2.4078695417404177,0.5875242397841158,62.37,6,20,54410,3.90214467048645,3.899075984954834,0.003068685531616211,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,5,1.9632703483581544,0.5265276025136856,58.33,5,20,54410,3.893000602722168,3.890300989151001,0.002699613571166992,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,6,1.7735834085464477,0.5693158406832554,62.23,4,20,54410,3.07661509513855,3.074047088623047,0.0025680065155029297,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,7,0.9703527868270874,0.6242254632360286,66.46,5,20,54410,4.382546901702881,4.380003929138184,0.0025429725646972656,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,8,1.827964769744873,0.5063010037907782,56.85,6,20,54410,3.504457712173462,3.502106189727783,0.002351522445678711,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,9,0.8672673996210098,0.7274314549110488,76.35,5,20,54410,3.2110812664031982,3.2087743282318115,0.0023069381713867188,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,10,1.5567830352783203,0.6609098437680441,70.72,6,20,54410,3.7684106826782227,3.765353202819824,0.0030574798583984375,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,11,1.3052791104316712,0.6683341316230343,71.33,5,20,54410,4.707144021987915,4.704403638839722,0.0027403831481933594,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,12,1.1941568037033081,0.6857536328794498,70.91,4,20,54410,1.657017469406128,1.654604434967041,0.002413034439086914,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,13,0.7150370038986206,0.7729524775350481,77.04,4,20,54410,2.139279365539551,2.137248992919922,0.0020303726196289062,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,14,0.7823893259048462,0.7428825696921523,75.7,6,20,54410,4.616216659545898,4.613403081893921,0.002813577651977539,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,15,0.7932809733390808,0.7410530270793032,76.88,5,20,54410,3.567483901977539,3.5647120475769043,0.0027718544006347656,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,16,0.7115070839881897,0.7509526346470607,77.09,5,20,54410,3.790585994720459,3.7877695560455322,0.002816438674926758,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,17,0.5773075845718384,0.8009300002403027,80.27,6,20,54410,3.8659133911132812,3.8629839420318604,0.0029294490814208984,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,18,0.7910961581230164,0.7285710702499284,71.7,4,20,54410,2.358823299407959,2.3563969135284424,0.0024263858795166016,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,19,1.5395689748764039,0.5080140152150678,55.97,4,20,54410,4.213883876800537,4.211411237716675,0.0024726390838623047,,84.513671875,20
FedAdam,FashionMNIST,,0.9,0.999,20,1.5223000724792481,0.5698643553070674,61.36,6,20,54410,3.380544662475586,3.3778250217437744,0.0027196407318115234,,84.513671875,20
