Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Participation_Frac
FedAdam,FashionMNIST,,0.9,0.999,8,0.773702658033371,0.7284640307391168,73.39,24,100,54410,3.3952393531799316,3.3885903358459473,0.006649017333984375,,122.966796875,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,9,1.0238666430473327,0.7098508815344039,71.38,25,100,54410,3.2690131664276123,3.261615037918091,0.007398128509521484,,122.966796875,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,10,1.0015854453086852,0.720782060892156,73.37,20,100,54410,2.686933755874634,2.681687355041504,0.005246400833129883,,122.966796875,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,11,0.7484519824028015,0.7678934989563375,77.91,20,100,54410,2.5910680294036865,2.58443021774292,0.0066378116607666016,,122.966796875,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,12,0.6195007627487182,0.7839333643093482,79.94,30,100,54410,5.0657525062561035,5.057032108306885,0.00872039794921875,,122.966796875,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,13,0.5889428948879242,0.7929943100472363,79.99,29,100,54410,4.678465127944946,4.670996189117432,0.0074689388275146484,,122.966796875,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,14,0.5852538819789886,0.7884944881387264,79.24,22,100,54410,3.807600736618042,3.8010261058807373,0.0065746307373046875,,122.966796875,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,15,0.5825831146240235,0.7857082754073899,79.15,28,100,54410,4.774938106536865,4.767367124557495,0.007570981979370117,,122.966796875,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,16,0.5724360960960388,0.7995222029678957,80.72,28,100,54410,5.384325981140137,5.37630820274353,0.008017778396606445,,122.966796875,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,17,0.5690204051017761,0.798676529844409,80.76,26,100,54410,4.410722494125366,4.4037394523620605,0.006983041763305664,,122.966796875,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,18,0.5675409595012665,0.7968099919610834,79.69,21,100,54410,3.082794666290283,3.0768778324127197,0.0059168338775634766,,122.966796875,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,19,0.5943888290882111,0.7830252445100773,77.91,28,100,54410,4.658029079437256,4.650701284408569,0.0073277950286865234,,122.966796875,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,20,0.5770949923992157,0.7876016179866254,78.37,28,100,54410,3.780118465423584,3.772292137145996,0.00782632827758789,,122.966796875,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,21,0.4845778194904327,0.8206092708630498,82.19,24,100,54410,4.287389278411865,4.280110120773315,0.007279157638549805,,122.966796875,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,22,0.5011556785821915,0.8105074984313745,82.08,26,100,54410,3.9446702003479004,3.936945676803589,0.0077245235443115234,,122.966796875,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,23,0.5661304898738861,0.7857509547854853,80.96,28,100,54410,4.820655822753906,4.813944339752197,0.006711483001708984,,122.966796875,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,24,0.5166094083547592,0.8110752242729488,82.54,23,100,54410,3.0128414630889893,3.0059726238250732,0.006868839263916016,,122.966796875,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,25,0.4787626515388489,0.8227241194160448,82.28,29,100,54410,3.535573720932007,3.527273654937744,0.008300065994262695,,122.966796875,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,26,0.49147541666030886,0.8194995705307685,81.72,26,100,54410,4.134323835372925,4.12723445892334,0.007089376449584961,,122.966796875,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,27,0.4381077780723572,0.8419948651460063,84.15,27,100,54410,3.866830348968506,3.8590750694274902,0.007755279541015625,,122.966796875,0.20-0.30
