Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Sweep_Type
FedHST,FashionMNIST,0.5,0.7,0.999,17,0.5384515782356262,0.7929092557563385,81.14,26,100,54410,4.4005067348480225,4.388840436935425,0.011666297912597656,0.011066675186157227,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,18,0.5102350107192993,0.8151901176940244,81.43,21,100,54410,3.04827618598938,3.03847336769104,0.009802818298339844,0.009202957153320312,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,19,0.49500059094429016,0.8196737072166795,81.39,28,100,54410,4.703567028045654,4.691136598587036,0.012430429458618164,0.011776447296142578,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,20,0.5792917615413665,0.7783580528880114,77.75,28,100,54410,3.8280837535858154,3.816387414932251,0.011696338653564453,0.011100292205810547,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,21,0.5034412940979004,0.8062707644757751,81.59,24,100,54410,4.9868505001068115,4.975998163223267,0.010852336883544922,0.010221481323242188,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,22,0.5449057096004486,0.7808076290384843,80.6,26,100,54410,4.047430038452148,4.036129951477051,0.011300086975097656,0.0107269287109375,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,23,0.5535071370601654,0.7840713743440679,81.04,28,100,54410,4.9423253536224365,4.930590629577637,0.011734724044799805,0.011207342147827148,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,24,0.46105285358428955,0.8229208137957522,83.26,23,100,54410,2.850242853164673,2.8407204151153564,0.009522438049316406,0.008962869644165039,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,25,0.44437728695869444,0.8384951391122023,83.52,29,100,54410,3.486288070678711,3.473348617553711,0.012939453125,0.012274980545043945,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,26,0.49145247955322263,0.8222642807833094,82.1,26,100,54410,4.0795087814331055,4.068824291229248,0.010684490203857422,0.010128021240234375,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,27,0.49441601576805116,0.8156116043575874,82.02,27,100,54410,3.823637008666992,3.8117640018463135,0.011873006820678711,0.011264324188232422,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,28,0.44755409598350526,0.8262343904082726,83.55,30,100,54410,4.564991474151611,4.5522987842559814,0.012692689895629883,0.012095212936401367,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,29,0.46728890850543975,0.817953971003438,82.89,25,100,54410,2.7800371646881104,2.770102024078369,0.009935140609741211,0.00939488410949707,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,30,0.488705419254303,0.8134124573009303,82.41,28,100,54410,3.8268160820007324,3.81643009185791,0.010385990142822266,0.009775638580322266,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,31,0.4736014050960541,0.8254964088134302,82.51,25,100,54410,3.0834436416625977,3.0735888481140137,0.009854793548583984,0.009290218353271484,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,32,0.5298407303333282,0.795466097771261,79.08,25,100,54410,2.957937240600586,2.9478983879089355,0.01003885269165039,0.009438037872314453,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,33,0.4332180891990662,0.8411392330078806,83.9,27,100,54410,4.267827033996582,4.255751848220825,0.012075185775756836,0.011357784271240234,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,34,0.5027182121276855,0.7991908402027189,82.31,29,100,54410,4.948757648468018,4.935917854309082,0.012839794158935547,0.012277364730834961,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,35,0.5718362943649292,0.7872014898797123,81.99,27,100,54410,3.9908833503723145,3.9786887168884277,0.012194633483886719,0.011600494384765625,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,36,0.4830867063045502,0.8151959657189091,83.78,26,100,54410,4.322517156600952,4.311083793640137,0.01143336296081543,0.010821342468261719,122.98095703125,beta1
